iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
430	0.1252914997	0.9533860886	0.9453499521
431	0.1252400612	0.953093851	0.9450303611
432	0.1250495069	0.953093851	0.9450303611
433	0.1248419077	0.953093851	0.9450303611
434	0.1245784131	0.953093851	0.9450303611
435	0.1244619037	0.953093851	0.9450303611
436	0.1244005675	0.953093851	0.9450303611
437	0.1241986504	0.9529531507	0.9450303611
438	0.1238347632	0.9530195432	0.9450303611
439	0.123539497	0.9539291456	0.9459891339
440	0.1233375319	0.9539291456	0.9459891339
441	0.1232452497	0.9539291456	0.9459891339
442	0.1231154319	0.9539684109	0.9459891339
443	0.1229674645	0.9537014669	0.945669543
444	0.1227998833	0.9543506313	0.9463087248
445	0.1225616137	0.9540836873	0.9459891339
446	0.1224494735	0.9540836873	0.9459891339
447	0.1222305698	0.9533575612	0.9453499521
448	0.1221046835	0.9533575612	0.9453499521
449	0.1219274861	0.9537554566	0.945669543
450	0.1217572012	0.9536497988	0.945669543
451	0.1214262609	0.9537554566	0.945669543
452	0.1212201903	0.9540096096	0.9459891339
453	0.1210689719	0.9540096096	0.9459891339
454	0.1208660694	0.9543378403	0.9463087248
455	0.1207000968	0.9540096096	0.9459891339
456	0.1204907544	0.9543018472	0.9463087248
457	0.1203480279	0.9543018472	0.9463087248
458	0.1202953509	0.9547740504	0.9466283158
459	0.1200974712	0.9549932812	0.9469479067
460	0.1199597899	0.9546593944	0.9466283158
461	0.119888352	0.9546593944	0.9466283158
462	0.1197787319	0.9546593944	0.9466283158
463	0.1196224294	0.9546593944	0.9466283158
464	0.1193032838	0.9549422131	0.9469479067
465	0.119203128	0.9552843984	0.9472674976
466	0.1190784313	0.9555513424	0.9475870885
467	0.1189159615	0.954925218	0.9469479067
468	0.1187376782	0.9552174556	0.9472674976
469	0.1185192044	0.9546524338	0.9466283158
470	0.1183260038	0.955018749	0.9469479067
471	0.1182445784	0.9553924074	0.9472674976
472	0.1181957176	0.9551001698	0.9469479067
473	0.117913852	0.95510601	0.9469479067
474	0.1178067139	0.9553982476	0.9472674976
475	0.1175811508	0.9551254634	0.9469479067
476	0.1172005236	0.9549667587	0.9469479067
477	0.1169516956	0.9543708857	0.9463087248
478	0.1166107476	0.9549877328	0.9469479067
479	0.1164418399	0.9555529748	0.9475870885
480	0.1162194093	0.9554435386	0.9475870885
481	0.1159740017	0.9555765885	0.9475870885
482	0.1158416549	0.9562414278	0.9482262704
483	0.1156742279	0.95632989	0.9482262704
484	0.115538424	0.9562414278	0.9482262704
485	0.1153714433	0.9562414278	0.9482262704
486	0.1151722091	0.9559686436	0.9479066795
487	0.1150537154	0.9559686436	0.9479066795
488	0.1149146322	0.9566116208	0.9485458613
489	0.1148331676	0.9566116208	0.9485458613
490	0.1146427764	0.9566116208	0.9485458613
491	0.1143882643	0.956277734	0.9482262704
492	0.1142962124	0.956277734	0.9482262704
493	0.1141876822	0.9566116208	0.9485458613
494	0.1141429786	0.9566116208	0.9485458613
495	0.1139478204	0.9575477145	0.9491850431
496	0.1137614287	0.9569943632	0.9488654522
497	0.113658954	0.9575477145	0.9491850431
498	0.1135045284	0.9577636732	0.9495046341
499	0.1132652856	0.9574297864	0.9491850431
500	0.112903002	0.9576562158	0.9495046341
501	0.1128014353	0.9579470044	0.949824225
502	0.1126234181	0.9579470044	0.949824225
503	0.1124184703	0.9582108377	0.9501438159
504	0.1123058167	0.9577205749	0.9495046341
505	0.1121734383	0.9582108377	0.9501438159
506	0.1120778355	0.9582108377	0.9501438159
507	0.1118780901	0.9582892917	0.9501438159
508	0.1117850584	0.9586356124	0.9504634068
509	0.1115544274	0.9586356124	0.9504634068
510	0.1114204515	0.9588808019	0.9507829978
511	0.111270119	0.9586356124	0.9504634068
512	0.1110609724	0.9586356124	0.9504634068
513	0.110893223	0.9585640469	0.9504634068
514	0.1105915025	0.959383459	0.9514221796
515	0.1103982258	0.9588550302	0.9511025887
516	0.1101805792	0.958969359	0.9511025887
517	0.1099830937	0.958969359	0.9511025887
518	0.1098852294	0.958749801	0.9507829978
519	0.109715158	0.9592409434	0.9514221796
520	0.1095926069	0.958969359	0.9511025887
521	0.1093577782	0.9593394889	0.9514221796
522	0.1090784782	0.9593915154	0.9514221796
523	0.1090490588	0.9593915154	0.9514221796
524	0.108971241	0.9593915154	0.9514221796
525	0.1086487493	0.9593766252	0.9514221796
526	0.1085117233	0.9595961832	0.9517417705
527	0.1084073158	0.9601125442	0.9523809524
528	0.1082880389	0.9600790363	0.9523809524
529	0.1081588334	0.9603592061	0.9527005433
530	0.1079786281	0.9603566429	0.9527005433
531	0.1078670505	0.960924337	0.9533397252
532	0.107809502	0.960704779	0.9530201342
533	0.1074848296	0.9603150108	0.9527005433
534	0.1074244183	0.960551202	0.9530201342
535	0.107233608	0.960805355	0.9533397252
536	0.1071612724	0.960805355	0.9533397252
537	0.1069858365	0.9605415216	0.9530201342
538	0.1069118497	0.9609297409	0.9533397252
539	0.1067577227	0.9606935497	0.9530201342
540	0.1065449508	0.961829413	0.953978907
541	0.1064029797	0.9624948572	0.9546180888
542	0.1063370208	0.9624948572	0.9546180888
543	0.1061612417	0.9621066379	0.9542984979
544	0.1061280325	0.9623704713	0.9546180888
545	0.1060853525	0.9623704713	0.9546180888
546	0.1058273318	0.9624882669	0.9546180888
547	0.1056377701	0.9627521003	0.9549376798
548	0.1054969579	0.9627521003	0.9549376798
549	0.1053777575	0.9627521003	0.9549376798
550	0.105211622	0.9627521003	0.9549376798
551	0.1051603271	0.9627521003	0.9549376798
552	0.1049370646	0.9633893654	0.9555768616
553	0.104852968	0.9633893654	0.9555768616
554	0.1047426953	0.9633893654	0.9555768616
555	0.1046779968	0.9633893654	0.9555768616
556	0.1046138552	0.9633893654	0.9555768616
557	0.1045262229	0.9633893654	0.9555768616
558	0.1042536986	0.9633893654	0.9555768616
559	0.1041834328	0.9633893654	0.9555768616
560	0.1040867267	0.9636923875	0.9558964525
561	0.1040320637	0.9636923875	0.9558964525
562	0.103832045	0.9636923875	0.9558964525
563	0.1037678322	0.9636923875	0.9558964525
564	0.1035392837	0.9634561963	0.9555768616
565	0.1034349716	0.9634561963	0.9555768616
566	0.1032866725	0.9636852434	0.9558964525
567	0.1032131233	0.9636852434	0.9558964525
568	0.1030876565	0.9636852434	0.9558964525
569	0.1029956935	0.9640191302	0.9562160435
570	0.1029003936	0.9640191302	0.9562160435
571	0.1028344576	0.9640191302	0.9562160435
572	0.1027627162	0.9640191302	0.9562160435
573	0.1026979749	0.9640191302	0.9562160435
574	0.1025541476	0.9646136803	0.9568552253
575	0.1024558604	0.9646136803	0.9568552253
576	0.1023980202	0.9646136803	0.9568552253
577	0.1022248429	0.9648789231	0.9571748162
578	0.1021490194	0.9648789231	0.9571748162
579	0.1019472355	0.965103062	0.9574944072
580	0.101852439	0.9653968202	0.9578139981
581	0.1017089586	0.9645782262	0.9571748162
582	0.1016186502	0.9645782262	0.9571748162
583	0.1015605575	0.9645782262	0.9571748162
584	0.1014288393	0.9642811894	0.9568552253
585	0.1011914557	0.9649156188	0.9571748162
586	0.1011263183	0.9649156188	0.9571748162
587	0.100898515	0.9648904781	0.9571748162
588	0.100733375	0.9643893019	0.9568552253
589	0.1006003808	0.965161884	0.9574944072
590	0.1004090934	0.9649426532	0.9571748162
591	0.1002824399	0.965748938	0.958133589
